score,tier,title,company,location,salary,posted,source,url,reasons,warnings
60,🟡 GOOD FIT,Principal Software Test Engineer,Trintech,"Texas, United States",,2026-07-31,LinkedIn,https://www.linkedin.com/jobs/view/principal-software-test-engineer-at-trintech-4418825808,Partial title match | Seniority: principal | Remote confirmed | Posted 6d ago,No specific skills mentioned in listing | Salary not listed
60,🟡 GOOD FIT,Lead Software Quality Assurance (QA) Automation Engineer,Peraton,"Colorado Springs, CO",,2026-07-31,LinkedIn,https://www.linkedin.com/jobs/view/lead-software-quality-assurance-qa-automation-engineer-at-peraton-4447168422,Partial title match | Seniority: lead | Remote confirmed | Posted 6d ago,No specific skills mentioned in listing | Salary not listed
60,🟡 GOOD FIT,Software Quality Assurance Lead,Raymond James,"St. Petersburg, FL",,2026-07-30,LinkedIn,https://www.linkedin.com/jobs/view/software-quality-assurance-lead-at-raymond-james-4445057087,Partial title match | Seniority: lead | Remote confirmed | Posted 7d ago,No specific skills mentioned in listing | Salary not listed
60,🟡 GOOD FIT,"Manager, Engineering and Quality",Leviton,"Fuquay-Varina, NC",,2026-08-02,LinkedIn,https://www.linkedin.com/jobs/view/manager-engineering-and-quality-at-leviton-4431117359,Partial title match | Seniority: manager | Remote confirmed | Posted 4d ago,No specific skills mentioned in listing | Salary not listed
60,🟡 GOOD FIT,"Manager, Product Quality, RoadRunner",Anduril Industries,"Ashville, OH",,2026-08-01,LinkedIn,https://www.linkedin.com/jobs/view/manager-product-quality-roadrunner-at-anduril-industries-4439357684,Partial title match | Seniority: manager | Remote confirmed | Posted 5d ago,No specific skills mentioned in listing | Salary not listed
60,🟡 GOOD FIT,"Supplier Quality Engineer, Lead",Fluidstack,"Austin, TX",,2026-07-31,LinkedIn,https://www.linkedin.com/jobs/view/supplier-quality-engineer-lead-at-fluidstack-4418858899,Partial title match | Seniority: lead | Remote confirmed | Posted 6d ago,No specific skills mentioned in listing | Salary not listed
60,🟡 GOOD FIT,"Quality Engineer, Site Lead",Ingersoll Rand,"Naperville, IL",,2026-08-01,LinkedIn,https://www.linkedin.com/jobs/view/quality-engineer-site-lead-at-ingersoll-rand-4427844812,Partial title match | Seniority: lead | Remote confirmed | Posted 5d ago,No specific skills mentioned in listing | Salary not listed
60,🟡 GOOD FIT,"Supplier Quality Engineer, Lead",Fluidstack,"New York, NY",,2026-08-01,LinkedIn,https://www.linkedin.com/jobs/view/supplier-quality-engineer-lead-at-fluidstack-4418858900,Partial title match | Seniority: lead | Remote confirmed | Posted 5d ago,No specific skills mentioned in listing | Salary not listed
60,🟡 GOOD FIT,Staff Engineer of Manufacturing Quality,Rehlko,"Sheboygan, WI",,2026-08-02,LinkedIn,https://www.linkedin.com/jobs/view/staff-engineer-of-manufacturing-quality-at-rehlko-4403138451,Partial title match | Seniority: staff | Remote confirmed | Posted 4d ago,No specific skills mentioned in listing | Salary not listed
60,🟡 GOOD FIT,"(USA) Manager II, Quality Engineer - Supply Chain",Walmart,"Smyrna, DE",,2026-07-31,LinkedIn,https://www.linkedin.com/jobs/view/usa-manager-ii-quality-engineer-supply-chain-at-walmart-4409209318,Partial title match | Seniority: manager | Remote confirmed | Posted 6d ago,No specific skills mentioned in listing | Salary not listed
60,🟡 GOOD FIT,Senior Software Test Engineer,"ANA, Inc","Henderson, NV",,2026-07-30,LinkedIn,https://www.linkedin.com/jobs/view/senior-software-test-engineer-at-ana-inc-4446932157,Partial title match | Seniority: senior | Remote confirmed | Posted 7d ago,No specific skills mentioned in listing | Salary not listed
60,🟡 GOOD FIT,Quality Lead Engineer,Ontic,"Chatsworth, CA",,2026-07-31,LinkedIn,https://www.linkedin.com/jobs/view/quality-lead-engineer-at-ontic-4430126791,Partial title match | Seniority: lead | Remote confirmed | Posted 6d ago,No specific skills mentioned in listing | Salary not listed
60,🟡 GOOD FIT,"Principal Engineer, Quality",Edwards Lifesciences,"Irvine, CA",,2026-08-02,LinkedIn,https://www.linkedin.com/jobs/view/principal-engineer-quality-at-edwards-lifesciences-4428504777,Partial title match | Seniority: principal | Remote confirmed | Posted 4d ago,No specific skills mentioned in listing | Salary not listed
60,🟡 GOOD FIT,"Staff Engineer, Quality (R4840)",Shield AI,"Dallas, TX",,2026-08-02,LinkedIn,https://www.linkedin.com/jobs/view/staff-engineer-quality-r4840-at-shield-ai-4391141862,Partial title match | Seniority: staff | Remote confirmed | Posted 4d ago,No specific skills mentioned in listing | Salary not listed
58,🟡 GOOD FIT,QA Engineer,Skylum,"Europe,  Ukraine",,2026-07-26,Jobicy,https://jobicy.com/jobs/149743-qa-engineer-4,"Partial title match | Remote confirmed | Skills: Cypress, Playwright, JavaScript, test automation",Seniority unclear | Salary not listed | Post date unknown
55,🟡 GOOD FIT,Senior Quality Analyst - Advertising Technology,Truelogic,LATAM,,2026-07-12,Jobicy,https://jobicy.com/jobs/149151-senior-quality-analyst-advertising-technology,Partial title match | Seniority: senior | Remote confirmed,No specific skills mentioned in listing | Salary not listed | Post date unknown
55,🟡 GOOD FIT,Manual QA Engineer,Seeking Alpha,"Kyiv, Kyiv, Kyiv City, Ukraine",,2026-07-21,Remote OK,https://remoteOK.com/remote-jobs/remote-manual-qa-engineer-seeking-alpha-1135351,Partial title match | Seniority: lead | Remote confirmed | Skill: JavaScript,Salary not listed | Older listing: 15d ago
53,🟠 POSSIBLE,Test Automation Specialist,Schrill Technologies Inc.,"Chicago, IL",,2026-08-06,LinkedIn,https://www.linkedin.com/jobs/view/test-automation-specialist-at-schrill-technologies-inc-4448414780,Partial title match | Remote confirmed | Skill: test automation | Posted 0d ago ✓,Seniority unclear | Salary not listed
